0.038		0.013		0.006		0.013		0.051		0.006		0.019		0.0		0.0		0.006

0.013		0.026		0.045		0.019		0.013		0.006		0.026		0.006		0.0		0.0

0.006		0.006		0.013		0.026		0.038		0.013		0.006		0.013		0.0		0.0

0.038		0.026		0.013		0.0		0.019		0.006		0.0		0.013		0.0		0.0

0.026		0.038		0.019		0.013		0.013		0.0		0.013		0.019		0.006		0.013

0.0		0.019		0.0		0.006		0.013		0.006		0.006		0.006		0.0		0.0

0.013		0.019		0.013		0.013		0.0		0.0		0.006		0.013		0.006		0.006

0.006		0.006		0.006		0.006		0.026		0.006		0.006		0.0		0.006		0.0

0.019		0.006		0.006		0.0		0.0		0.0		0.006		0.0		0.0		0.006

0.0		0.0		0.006		0.013		0.0		0.0		0.006		0.006		0.0		0.0

